Sequence	Count	Probability(%)
0510	538	0.030215
7890	538	0.030215
0704	536	0.030102
1808	535	0.030046
1290	534	0.029990
8989	532	0.029878
0611	532	0.029878
2535	532	0.029878
1503	531	0.029822
1309	529	0.029709
0804	528	0.029653
0705	527	0.029597
1236	527	0.029597
0908	526	0.029541
0310	526	0.029541
0503	526	0.029541
0609	525	0.029485
2208	525	0.029485
1707	524	0.029428
1504	523	0.029372
2506	523	0.029372
0402	523	0.029372
1289	522	0.029316
0815	521	0.029260
3232	520	0.029204
1892	519	0.029148
1910	519	0.029148
0416	517	0.029035
2407	516	0.028979
2508	515	0.028923
1511	514	0.028867
1711	513	0.028811
0904	511	0.028698
2109	510	0.028642
1925	507	0.028474
2308	507	0.028474
0401	507	0.028474
0802	506	0.028418
2408	506	0.028418
2711	506	0.028418
1712	506	0.028418
1928	505	0.028361
1409	505	0.028361
1810	505	0.028361
2521	505	0.028361
2406	505	0.028361
1806	501	0.028137
2533	501	0.028137
0604	500	0.028081
1804	500	0.028081
0421	499	0.028024
2309	499	0.028024
1523	498	0.027968
0423	497	0.027912
1488	496	0.027856
0121	496	0.027856
2610	496	0.027856
0220	495	0.027800
1302	494	0.027744
0403	494	0.027744
0213	493	0.027687
2520	493	0.027687
1403	492	0.027631
1617	490	0.027519
3456	490	0.027519
0903	490	0.027519
0923	489	0.027463
1423	489	0.027463
0409	489	0.027463
1922	489	0.027463
1315	489	0.027463
2405	488	0.027407
0525	488	0.027407
0215	487	0.027351
5254	483	0.027126
1288	482	0.027070
1509	482	0.027070
1502	482	0.027070
0823	481	0.027014
0902	481	0.027014
0414	481	0.027014
1612	479	0.026901
1300	479	0.026901
2710	477	0.026789
1610	477	0.026789
1703	475	0.026677
1948	474	0.026620
5050	473	0.026564
0001	471	0.026452
0603	471	0.026452
1921	471	0.026452
0502	468	0.026283
1520	465	0.026115
0316	465	0.026115
0302	465	0.026115
1902	465	0.026115
1708	465	0.026115
0821	464	0.026059
1909	464	0.026059
0425	464	0.026059
0504	464	0.026059
1803	463	0.026003
0723	462	0.025946
3434	462	0.025946
1923	462	0.025946
1706	462	0.025946
0112	462	0.025946
1607	461	0.025890
1811	461	0.025890
3003	460	0.025834
1316	459	0.025778
0605	459	0.025778
1420	459	0.025778
2404	458	0.025722
0415	458	0.025722
1320	458	0.025722
0623	457	0.025666
0315	457	0.025666
2499	457	0.025666
1809	457	0.025666
1704	457	0.025666
0325	457	0.025666
0323	456	0.025610
0313	456	0.025610
2810	456	0.025610
2604	456	0.025610
1188	455	0.025553
0801	455	0.025553
0424	454	0.025497
1322	453	0.025441
1492	453	0.025441
2705	453	0.025441
0326	452	0.025385
2209	451	0.025329
1604	451	0.025329
0330	450	0.025273
1710	450	0.025273
0807	450	0.025273
1945	450	0.025273
2501	450	0.025273
2201	449	0.025216
1325	449	0.025216
0706	449	0.025216
2102	449	0.025216
0828	448	0.025160
0621	447	0.025104
2519	447	0.025104
0816	447	0.025104
0703	446	0.025048
0919	446	0.025048
2503	444	0.024936
3110	444	0.024936
0602	444	0.024936
2507	444	0.024936
1301	443	0.024879
0224	443	0.024879
2301	443	0.024879
0824	442	0.024823
0813	442	0.024823
0714	442	0.024823
0314	441	0.024767
0218	441	0.024767
0513	441	0.024767
0515	440	0.024711
0520	440	0.024711
0713	439	0.024655
0814	439	0.024655
1947	439	0.024655
2504	438	0.024599
2101	438	0.024599
0922	438	0.024599
1914	437	0.024542
0822	436	0.024486
1525	436	0.024486
0818	436	0.024486
2712	435	0.024430
2500	434	0.024374
0521	434	0.024374
0124	433	0.024318
0825	433	0.024318
0524	432	0.024262
2805	432	0.024262
1425	432	0.024262
1501	432	0.024262
3112	432	0.024262
0327	431	0.024206
0125	431	0.024206
1709	431	0.024206
0422	431	0.024206
0426	430	0.024149
0217	430	0.024149
1603	430	0.024149
1421	429	0.024093
1608	428	0.024037
2808	428	0.024037
0301	428	0.024037
0901	427	0.023981
0717	427	0.023981
0428	427	0.023981
2403	427	0.023981
2015	426	0.023925
3006	426	0.023925
2704	426	0.023925
0916	425	0.023869
1287	425	0.023869
2244	425	0.023869
2534	425	0.023869
0528	424	0.023812
2611	424	0.023812
2606	424	0.023812
1819	423	0.023756
5656	423	0.023756
2124	423	0.023756
1949	423	0.023756
0722	422	0.023700
0920	422	0.023700
1901	422	0.023700
2288	422	0.023700
1802	422	0.023700
0601	421	0.023644
1801	421	0.023644
0221	420	0.023588
1401	420	0.023588
1521	420	0.023588
1602	419	0.023532
1618	419	0.023532
2332	419	0.023532
0318	418	0.023475
0225	417	0.023419
0721	417	0.023419
2910	416	0.023363
0317	416	0.023363
0624	415	0.023307
0522	415	0.023307
0201	415	0.023307
0007	414	0.023251
0518	414	0.023251
1317	414	0.023251
1820	414	0.023251
0918	413	0.023195
0925	413	0.023195
1517	413	0.023195
2811	413	0.023195
2812	413	0.023195
0924	412	0.023138
0701	412	0.023138
2539	411	0.023082
0126	411	0.023082
0625	411	0.023082
0913	410	0.023026
0223	409	0.022970
0417	408	0.022914
2326	408	0.022914
0702	407	0.022858
0928	407	0.022858
1430	406	0.022801
3131	406	0.022801
0626	406	0.022801
2509	406	0.022801
0328	405	0.022745
1702	405	0.022745
1469	404	0.022689
1822	404	0.022689
0427	404	0.022689
0917	403	0.022633
1927	403	0.022633
0122	403	0.022633
0523	402	0.022577
0914	402	0.022577
0501	402	0.022577
1434	401	0.022521
1924	401	0.022521
0324	401	0.022521
2707	401	0.022521
2409	401	0.022521
1337	401	0.022521
2929	400	0.022465
1524	400	0.022465
4000	400	0.022465
1823	399	0.022408
0216	399	0.022408
1807	399	0.022408
2425	398	0.022352
0831	398	0.022352
1422	398	0.022352
0128	398	0.022352
9000	397	0.022296
3010	397	0.022296
0413	397	0.022296
0622	397	0.022296
1318	396	0.022240
2401	396	0.022240
2100	395	0.022184
3012	395	0.022184
0120	395	0.022184
1913	395	0.022184
0929	395	0.022184
1424	394	0.022128
1518	393	0.022071
0127	393	0.022071
2612	393	0.022071
1379	393	0.022071
0927	393	0.022071
0531	392	0.022015
1916	392	0.022015
9090	392	0.022015
2518	392	0.022015
1873	392	0.022015
0331	391	0.021959
0930	391	0.021959
1900	391	0.021959
0613	390	0.021903
0915	390	0.021903
1621	390	0.021903
0429	389	0.021847
2502	389	0.021847
7410	388	0.021791
1609	388	0.021791
1789	388	0.021791
3011	388	0.021791
2904	387	0.021734
0320	387	0.021734
0418	386	0.021678
1187	386	0.021678
1326	386	0.021678
2113	386	0.021678
0725	386	0.021678
0926	385	0.021622
0728	385	0.021622
2302	385	0.021622
0616	384	0.021566
2806	384	0.021566
0219	384	0.021566
0628	383	0.021510
0529	382	0.021454
2402	381	0.021397
0826	380	0.021341
1418	380	0.021341
2907	380	0.021341
3001	379	0.021285
0519	378	0.021229
4200	378	0.021229
2111	378	0.021229
0517	377	0.021173
0620	377	0.021173
0819	377	0.021173
1721	376	0.021117
0526	375	0.021060
2804	375	0.021060
2703	375	0.021060
3004	375	0.021060
2706	375	0.021060
0430	373	0.020948
0113	373	0.020948
2912	373	0.020948
0131	371	0.020836
0618	371	0.020836
2906	371	0.020836
0615	370	0.020780
2607	370	0.020780
2708	370	0.020780
2608	369	0.020724
0319	368	0.020667
0419	368	0.020667
0724	367	0.020611
0322	367	0.020611
1824	367	0.020611
0827	366	0.020555
0820	364	0.020443
0129	363	0.020387
1177	363	0.020387
0226	363	0.020387
8520	362	0.020330
1723	362	0.020330
1256	362	0.020330
0114	362	0.020330
1286	361	0.020274
1417	361	0.020274
0527	361	0.020274
0329	361	0.020274
0715	360	0.020218
2605	360	0.020218
2803	358	0.020106
0619	358	0.020106
0516	358	0.020106
1293	358	0.020106
0727	358	0.020106
3005	358	0.020106
1946	358	0.020106
1590	357	0.020050
3105	357	0.020050
2903	357	0.020050
2517	357	0.020050
0514	356	0.019993
3007	355	0.019937
1623	354	0.019881
0630	354	0.019881
5252	354	0.019881
1327	353	0.019825
2223	352	0.019769
2325	350	0.019656
1942	350	0.019656
8701	349	0.019600
2125	349	0.019600
1620	349	0.019600
0830	348	0.019544
2327	348	0.019544
0614	347	0.019488
2030	347	0.019488
0829	346	0.019432
0817	346	0.019432
1601	346	0.019432
7878	345	0.019376
2905	345	0.019376
2909	345	0.019376
0115	345	0.019376
2602	345	0.019376
0227	343	0.019263
0228	343	0.019263
2023	342	0.019207
1190	342	0.019207
1294	341	0.019151
1199	341	0.019151
1090	340	0.019095
2609	339	0.019039
1875	339	0.019039
0117	338	0.018983
2809	337	0.018926
2516	335	0.018814
1189	334	0.018758
1881	334	0.018758
2807	334	0.018758
2908	334	0.018758
2022	334	0.018758
1285	333	0.018702
0617	333	0.018702
2801	333	0.018702
1522	333	0.018702
1944	332	0.018646
3210	332	0.018646
2802	332	0.018646
0716	331	0.018589
1088	331	0.018589
6996	331	0.018589
1428	331	0.018589
2515	331	0.018589
2603	331	0.018589
2514	331	0.018589
1295	331	0.018589
3008	331	0.018589
1243	330	0.018533
2537	330	0.018533
1622	329	0.018477
0627	329	0.018477
3101	328	0.018421
1478	328	0.018421
2538	327	0.018365
0530	326	0.018309
3107	326	0.018309
2709	326	0.018309
2314	325	0.018252
0118	325	0.018252
1388	325	0.018252
1600	325	0.018252
1269	325	0.018252
1722	325	0.018252
2213	324	0.018196
1890	324	0.018196
8787	324	0.018196
5454	323	0.018140
1134	323	0.018140
0116	322	0.018084
2550	321	0.018028
1929	321	0.018028
0720	320	0.017972
1254	320	0.017972
1400	320	0.017972
0729	319	0.017915
1930	319	0.017915
1926	319	0.017915
1688	317	0.017803
9898	317	0.017803
0011	317	0.017803
2901	316	0.017747
0718	315	0.017691
2589	314	0.017635
3113	314	0.017635
0130	314	0.017635
1392	313	0.017578
1192	313	0.017578
0629	313	0.017578
1328	313	0.017578
1526	313	0.017578
1619	313	0.017578
1150	313	0.017578
3108	313	0.017578
2024	312	0.017522
1092	312	0.017522
1390	311	0.017466
0719	311	0.017466
1133	311	0.017466
2601	310	0.017410
3103	309	0.017354
2488	307	0.017242
1066	307	0.017242
2025	305	0.017129
5200	305	0.017129
0222	304	0.017073
1292	304	0.017073
7788	304	0.017073
2486	303	0.017017
1080	303	0.017017
2316	302	0.016961
2126	302	0.016961
2469	302	0.016961
0731	301	0.016905
4242	301	0.016905
1624	300	0.016848
0119	300	0.016848
0726	300	0.016848
2188	299	0.016792
1719	299	0.016792
1191	298	0.016736
1530	298	0.016736
1589	298	0.016736
0111	296	0.016624
7272	296	0.016624
2313	295	0.016568
1089	295	0.016568
2388	295	0.016568
2315	295	0.016568
1195	295	0.016568
2513	295	0.016568
2702	295	0.016568
1284	294	0.016511
2369	294	0.016511
5300	293	0.016455
3009	293	0.016455
1185	292	0.016399
2442	291	0.016343
2289	291	0.016343
2277	291	0.016343
3636	291	0.016343
2426	290	0.016287
2389	289	0.016231
2728	289	0.016231
1591	289	0.016231
1296	289	0.016231
0012	289	0.016231
1098	289	0.016231
1433	288	0.016174
1330	287	0.016118
4040	287	0.016118
1592	287	0.016118
1727	287	0.016118
1431	286	0.016062
2120	286	0.016062
2214	285	0.016006
1184	285	0.016006
1419	284	0.015950
1825	284	0.015950
0147	284	0.015950
2200	283	0.015894
2390	282	0.015837
1489	282	0.015837
0730	282	0.015837
2131	281	0.015781
2992	280	0.015725
2255	280	0.015725
1319	279	0.015669
1291	279	0.015669
1427	279	0.015669
1788	279	0.015669
1138	279	0.015669
1917	279	0.015669
1626	278	0.015613
7399	278	0.015613
2134	278	0.015613
1941	278	0.015613
1239	278	0.015613
2789	277	0.015557
2118	277	0.015557
3535	276	0.015501
3123	275	0.015444
2321	275	0.015444
1193	275	0.015444
1087	274	0.015388
2229	273	0.015332
8907	273	0.015332
1258	273	0.015332
1283	270	0.015164
1186	270	0.015164
2224	270	0.015164
1426	269	0.015107
1828	269	0.015107
2116	269	0.015107
2218	268	0.015051
1691	268	0.015051
2627	268	0.015051
2891	267	0.014995
1689	267	0.014995
1528	267	0.014995
6600	267	0.014995
1435	266	0.014939
2701	266	0.014939
1720	266	0.014939
1593	266	0.014939
1490	265	0.014883
1278	265	0.014883
2588	265	0.014883
2552	265	0.014883
2427	265	0.014883
2391	264	0.014827
1724	264	0.014827
1826	263	0.014770
2127	263	0.014770
1519	263	0.014770
1487	262	0.014714
1918	262	0.014714
1436	262	0.014714
2400	261	0.014658
2190	260	0.014602
1456	260	0.014602
1299	260	0.014602
1513	259	0.014546
1625	259	0.014546
2318	259	0.014546
1196	259	0.014546
3200	258	0.014490
4455	258	0.014490
1085	258	0.014490
2016	258	0.014490
2300	258	0.014490
3344	258	0.014490
1827	257	0.014433
2114	257	0.014433
4869	256	0.014377
8806	254	0.014265
2169	254	0.014265
1728	254	0.014265
2428	254	0.014265
1413	254	0.014265
1298	254	0.014265
2115	253	0.014209
2414	253	0.014209
1790	252	0.014153
1441	252	0.014153
1588	252	0.014153
1094	252	0.014153
1280	252	0.014153
1095	252	0.014153
1874	252	0.014153
1393	251	0.014096
1793	250	0.014040
2215	250	0.014040
2128	250	0.014040
1144	250	0.014040
1386	249	0.013984
8899	249	0.013984
2191	249	0.013984
2117	248	0.013928
1086	248	0.013928
1889	248	0.013928
1940	247	0.013872
1776	247	0.013872
9696	247	0.013872
8080	246	0.013816
2317	246	0.013816
1891	246	0.013816
2882	246	0.013816
1814	246	0.013816
6000	246	0.013816
1389	245	0.013760
1250	244	0.013703
1329	244	0.013703
0013	244	0.013703
1238	244	0.013703
2189	243	0.013647
0069	243	0.013647
1237	243	0.013647
2421	243	0.013647
1514	243	0.013647
2185	242	0.013591
2489	241	0.013535
4747	241	0.013535
2234	241	0.013535
2689	240	0.013479
2319	240	0.013479
2017	240	0.013479
2119	240	0.013479
2216	239	0.013423
2387	239	0.013423
2187	239	0.013423
6288	239	0.013423
2290	239	0.013423
1099	239	0.013423
2829	238	0.013366
1628	238	0.013366
1394	238	0.013366
1935	238	0.013366
1943	238	0.013366
2384	237	0.013310
2287	237	0.013310
2130	237	0.013310
1692	237	0.013310
2230	237	0.013310
0143	236	0.013254
2386	236	0.013254
2328	236	0.013254
8910	235	0.013198
5225	235	0.013198
1345	235	0.013198
2285	235	0.013198
1551	235	0.013198
1932	235	0.013198
1182	234	0.013142
1937	234	0.013142
4201	234	0.013142
3310	234	0.013142
0789	233	0.013086
2217	232	0.013029
1829	231	0.012973
1493	230	0.012917
9292	230	0.012917
1178	230	0.012917
1627	230	0.012917
2415	230	0.012917
2292	229	0.012861
1491	229	0.012861
3579	228	0.012805
1194	228	0.012805
1395	228	0.012805
1183	227	0.012749
2583	227	0.012749
1155	227	0.012749
2393	227	0.012749
9800	226	0.012692
1391	226	0.012692
1933	226	0.012692
1277	226	0.012692
1700	226	0.012692
2286	225	0.012636
1069	225	0.012636
1279	225	0.012636
1587	224	0.012580
8383	224	0.012580
1181	224	0.012580
1282	223	0.012524
1725	223	0.012524
1887	223	0.012524
2413	223	0.012524
1091	223	0.012524
2028	223	0.012524
1093	222	0.012468
2225	222	0.012468
2186	222	0.012468
2690	222	0.012468
8705	222	0.012468
1931	221	0.012412
7414	221	0.012412
1714	221	0.012412
2284	219	0.012299
2129	218	0.012243
8686	218	0.012243
2991	218	0.012243
1084	218	0.012243
2099	217	0.012187
1453	217	0.012187
1387	217	0.012187
6669	217	0.012187
2392	217	0.012187
2269	216	0.012131
1791	216	0.012131
1281	216	0.012131
1179	216	0.012131
7891	216	0.012131
1786	216	0.012131
1726	216	0.012131
7474	215	0.012075
0077	215	0.012075
2356	215	0.012075
5858	215	0.012075
3100	214	0.012019
1527	214	0.012019
1198	214	0.012019
2026	214	0.012019
2487	214	0.012019
1032	213	0.011962
1830	213	0.011962
1899	213	0.011962
1529	213	0.011962
1429	212	0.011906
9900	212	0.011906
2322	212	0.011906
2027	212	0.011906
1077	212	0.011906
1787	211	0.011850
2291	211	0.011850
8585	211	0.011850
2691	211	0.011850
6767	211	0.011850
6363	211	0.011850
4848	211	0.011850
2293	211	0.011850
3220	211	0.011850
2930	211	0.011850
1082	210	0.011794
1586	210	0.011794
7373	210	0.011794
2416	210	0.011794
8282	210	0.011794
6464	210	0.011794
1715	210	0.011794
1596	210	0.011794
4488	210	0.011794
1730	209	0.011738
1792	209	0.011738
8000	209	0.011738
4221	208	0.011682
0014	208	0.011682
1687	208	0.011682
8891	207	0.011625
2484	207	0.011625
1813	207	0.011625
8484	207	0.011625
1096	207	0.011625
1915	207	0.011625
2219	207	0.011625
1180	206	0.011569
2600	206	0.011569
2448	206	0.011569
7000	206	0.011569
1936	206	0.011569
1771	206	0.011569
0023	206	0.011569
1939	206	0.011569
2551	206	0.011569
2330	205	0.011513
9988	205	0.011513
1485	205	0.011513
1486	205	0.011513
2587	204	0.011457
1143	204	0.011457
2791	203	0.011401
1197	203	0.011401
1878	203	0.011401
2018	203	0.011401
2090	203	0.011401
4114	203	0.011401
3211	203	0.011401
2540	203	0.011401
2231	202	0.011345
1083	202	0.011345
2492	202	0.011345
7575	202	0.011345
2787	202	0.011345
7979	201	0.011288
2385	201	0.011288
2684	201	0.011288
1886	201	0.011288
3214	201	0.011288
2232	201	0.011288
2585	201	0.011288
1397	201	0.011288
2431	201	0.011288
2490	200	0.011232
2662	200	0.011232
1033	199	0.011176
5674	199	0.011176
1785	199	0.011176
9009	199	0.011176
2429	199	0.011176
3121	199	0.011176
2988	198	0.011120
7787	198	0.011120
2192	198	0.011120
2320	198	0.011120
4123	198	0.011120
2029	198	0.011120
2295	198	0.011120
2383	197	0.011064
2226	197	0.011064
1816	197	0.011064
6230	197	0.011064
6699	197	0.011064
2890	196	0.011008
2591	196	0.011008
2790	196	0.011008
1242	195	0.010951
1040	194	0.010895
2184	194	0.010895
2586	194	0.010895
7676	194	0.010895
4343	193	0.010839
6262	193	0.010839
2686	193	0.010839
2990	193	0.010839
2040	193	0.010839
2019	193	0.010839
3838	192	0.010783
1050	192	0.010783
5432	192	0.010783
2628	192	0.010783
1884	192	0.010783
1385	192	0.010783
9494	192	0.010783
2282	192	0.010783
1275	192	0.010783
1595	192	0.010783
9595	191	0.010727
2418	191	0.010727
3500	191	0.010727
1471	191	0.010727
1452	190	0.010671
7894	190	0.010671
2423	190	0.010671
5757	190	0.010671
5366	190	0.010671
6977	190	0.010671
1893	189	0.010614
4204	189	0.010614
2688	189	0.010614
1169	189	0.010614
2394	189	0.010614
8990	189	0.010614
3737	189	0.010614
1248	189	0.010614
2088	188	0.010558
1693	188	0.010558
2788	188	0.010558
2493	188	0.010558
8889	188	0.010558
2329	188	0.010558
1882	188	0.010558
2091	187	0.010502
8181	187	0.010502
1377	186	0.010446
2266	186	0.010446
2772	186	0.010446
8890	186	0.010446
1729	186	0.010446
1045	186	0.010446
2491	186	0.010446
2889	185	0.010390
2630	185	0.010390
6988	185	0.010390
1815	185	0.010390
2417	185	0.010390
0021	184	0.010334
2430	184	0.010334
1614	184	0.010334
1585	183	0.010278
2089	183	0.010278
1479	183	0.010278
2590	183	0.010278
2569	183	0.010278
6868	183	0.010278
5377	183	0.010278
2194	183	0.010278
1495	183	0.010278
0003	182	0.010221
2193	182	0.010221
2331	182	0.010221
1255	182	0.010221
6565	182	0.010221
2902	182	0.010221
0991	181	0.010165
1885	181	0.010165
2395	181	0.010165
1247	181	0.010165
1081	181	0.010165
1297	181	0.010165
1938	181	0.010165
8706	180	0.010109
1132	180	0.010109
1713	179	0.010053
4224	179	0.010053
4711	179	0.010053
2050	179	0.010053
1131	179	0.010053
3002	179	0.010053
2989	178	0.009997
9393	178	0.009997
6425	178	0.009997
1579	178	0.009997
5589	177	0.009941
1784	177	0.009941
2549	177	0.009941
2221	177	0.009941
5505	177	0.009941
